0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "GET /jobReview/js/classInfo.js HTTP/1.1" 200 10618
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "GET /jobReview/js/classInfoStudentPaging.js HTTP/1.1" 200 5915
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "GET /jobReview/js/userInfo.js HTTP/1.1" 200 4003
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "GET /jobReview/js/classInfoBasic.js HTTP/1.1" 200 11526
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "GET /jobReview/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "GET /jobReview/laydate/theme/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "POST /jobReview/teacherGetClassTaskTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "POST /jobReview/teacherGetClassTaskList.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "POST /jobReview/teacherGetStudentCount.action HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "POST /jobReview/teacherGetGroupTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "POST /jobReview/teacherGetGroupList.action HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "GET /jobReview/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:51 +0800] "GET /jobReview/img/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:33:54 +0800] "POST /jobReview/teacherGetFinalExam.action HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:03 +0800] "POST /jobReview/teacherGetFinalExam.action HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:24 +0800] "GET /jobReview/teacherToClassManage.action HTTP/1.1" 200 7859
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:24 +0800] "GET /jobReview/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:24 +0800] "GET /jobReview/bootstrap/js/jquery.min.js HTTP/1.1" 200 93113
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:24 +0800] "GET /jobReview/bootstrap/js/docs.min.js HTTP/1.1" 200 47185
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:24 +0800] "GET /jobReview/js/classManagerPagin.js HTTP/1.1" 200 5618
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:24 +0800] "GET /jobReview/js/classManager.js HTTP/1.1" 200 4737
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:24 +0800] "GET /jobReview/bootstrap/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:24 +0800] "GET /jobReview/js/userInfo.js HTTP/1.1" 200 4003
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:24 +0800] "GET /jobReview/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:25 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:25 +0800] "POST /jobReview/teacherGetClassTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:25 +0800] "POST /jobReview/teacherGetClassList.action HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:28 +0800] "POST /jobReview/teacherUpdateClass.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:28 +0800] "POST /jobReview/teacherGetClassList.action HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/teacherToClassInfo.action?classId=2 HTTP/1.1" 200 25668
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/bootstrap/js/jquery.min.js HTTP/1.1" 200 93113
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/bootstrap/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/js/classInfoTaskPaging.js HTTP/1.1" 200 7789
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/js/classInfoStudentPaging.js HTTP/1.1" 200 5915
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/bootstrap/js/docs.min.js HTTP/1.1" 200 47185
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/js/userInfo.js HTTP/1.1" 200 4003
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/laydate/laydate.js HTTP/1.1" 200 27378
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/js/classInfoGroupPaging.js HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/js/classInfo.js HTTP/1.1" 200 10618
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/js/classInfoBasic.js HTTP/1.1" 200 11526
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "GET /jobReview/laydate/theme/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "POST /jobReview/getUserInfo.action HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "POST /jobReview/teacherGetClassTaskTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "POST /jobReview/teacherGetClassTaskList.action HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "POST /jobReview/teacherGetStudentCount.action HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:29 +0800] "POST /jobReview/teacherGetGroupTotal.action HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:30 +0800] "POST /jobReview/teacherGetGroupList.action HTTP/1.1" 200 680
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:34:30 +0800] "POST /jobReview/teacherGetFinalExam.action HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:15 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [28/Apr/2019:10:35:16 +0800] "POST /jobReview/teacherGetStudentList.action HTTP/1.1" 200 1366
